"B73_noP_all_ONLY","B73_PvsB73_noP_ONLY","MICH_noPvsB73_noP_ONLY","MICH_PvsB73_noP_ONLY","B73_noP_all_B73_PvsB73_noP","B73_noP_all_MICH_noPvsB73_noP","B73_noP_all_MICH_PvsB73_noP","B73_PvsB73_noP_MICH_noPvsB73_noP","B73_PvsB73_noP_MICH_PvsB73_noP","MICH_noPvsB73_noP_MICH_PvsB73_noP","ALL"
NA,NA,NA,NA,"Zm00001eb040900","Zm00001eb199980","Zm00001eb344870","Zm00001eb278650","Zm00001eb367710","Zm00001eb186790","Zm00001eb189140"
NA,NA,NA,NA,"Zm00001eb410260","Zm00001eb183910","Zm00001eb225390","Zm00001eb146910","Zm00001eb190580","Zm00001eb145080","Zm00001eb218750"
NA,NA,NA,NA,"Zm00001eb212520","Zm00001eb358700","Zm00001eb406810","Zm00001eb407630","Zm00001eb178840","Zm00001eb191430","Zm00001eb002190"
NA,NA,NA,NA,"Zm00001eb122420","Zm00001eb191140","Zm00001eb168170","Zm00001eb394170","Zm00001eb411460","Zm00001eb050070","Zm00001eb187590"
NA,NA,NA,NA,"Zm00001eb282490","Zm00001eb124790","Zm00001eb106370","Zm00001eb383780","Zm00001eb334540","Zm00001eb252460","Zm00001eb077330"
NA,NA,NA,NA,"Zm00001eb215320","Zm00001eb417630","Zm00001eb426550","Zm00001eb370370","Zm00001eb336190","Zm00001eb061140","Zm00001eb174340"
NA,NA,NA,NA,"Zm00001eb058550","Zm00001eb099170","Zm00001eb360230","Zm00001eb192160","Zm00001eb270940","Zm00001eb196170","Zm00001eb367930"
NA,NA,NA,NA,"Zm00001eb377890","Zm00001eb116580","Zm00001eb056990","Zm00001eb040890","Zm00001eb154650","Zm00001eb076470","Zm00001eb125540"
NA,NA,NA,NA,"Zm00001eb230820","Zm00001eb389750","Zm00001eb040900","Zm00001eb131440","Zm00001eb053860","Zm00001eb142650","Zm00001eb370610"
NA,NA,NA,NA,"Zm00001eb429510","Zm00001eb127520","Zm00001eb410260","Zm00001eb250840","Zm00001eb188340","Zm00001eb374080","Zm00001eb226690"
NA,NA,NA,NA,"Zm00001eb148900","Zm00001eb322790","Zm00001eb212520","Zm00001eb126790","Zm00001eb396480","Zm00001eb151650","Zm00001eb234470"
NA,NA,NA,NA,"Zm00001eb158800","Zm00001eb402590","Zm00001eb122420","Zm00001eb383310","Zm00001eb188330","Zm00001eb112560","Zm00001eb339110"
NA,NA,NA,NA,"Zm00001eb154620","Zm00001eb189140","Zm00001eb282490","Zm00001eb170060","Zm00001eb268950","Zm00001eb367710","Zm00001eb196510"
NA,NA,NA,NA,"Zm00001eb244190","Zm00001eb218750","Zm00001eb215320","Zm00001eb388220","Zm00001eb309420","Zm00001eb190580","Zm00001eb359070"
NA,NA,NA,NA,"Zm00001eb204350","Zm00001eb002190","Zm00001eb058550","Zm00001eb148020","Zm00001eb100020","Zm00001eb334540","Zm00001eb340780"
NA,NA,NA,NA,"Zm00001eb415960","Zm00001eb187590","Zm00001eb377890","Zm00001eb064450","Zm00001eb302280","Zm00001eb336190","Zm00001eb252380"
NA,NA,NA,NA,"Zm00001eb127040","Zm00001eb077330","Zm00001eb230820","Zm00001eb009430","Zm00001eb139920","Zm00001eb270940","Zm00001eb300770"
NA,NA,NA,NA,"Zm00001eb424280","Zm00001eb174340","Zm00001eb391900","Zm00001eb082370","Zm00001eb001020","Zm00001eb154650","Zm00001eb192150"
NA,NA,NA,NA,"Zm00001eb193820","Zm00001eb367930","Zm00001eb429510","Zm00001eb340190","Zm00001eb302350","Zm00001eb053860","Zm00001eb079180"
NA,NA,NA,NA,"Zm00001eb193660","Zm00001eb125540","Zm00001eb148900","Zm00001eb292240","Zm00001eb370590","Zm00001eb188340","Zm00001eb422330"
NA,NA,NA,NA,"Zm00001eb191350","Zm00001eb370610","Zm00001eb217840","Zm00001eb068310","Zm00001eb350770","Zm00001eb396480","Zm00001eb254480"
NA,NA,NA,NA,"Zm00001eb339490","Zm00001eb226690","Zm00001eb158800","Zm00001eb344870","Zm00001eb160210","Zm00001eb357300","Zm00001eb146920"
NA,NA,NA,NA,"Zm00001eb223890","Zm00001eb234470","Zm00001eb154620","Zm00001eb106370","Zm00001eb189950","Zm00001eb188330","Zm00001eb193040"
NA,NA,NA,NA,"Zm00001eb198730","Zm00001eb339110","Zm00001eb428830","Zm00001eb426550","Zm00001eb395620","Zm00001eb268950","Zm00001eb267210"
NA,NA,NA,NA,"Zm00001eb144680","Zm00001eb196510","Zm00001eb244190","Zm00001eb056990","Zm00001eb298570","Zm00001eb309420","Zm00001eb130850"
NA,NA,NA,NA,"Zm00001eb255120","Zm00001eb359070","Zm00001eb204350","Zm00001eb410260","Zm00001eb121420","Zm00001eb193120","Zm00001eb213670"
NA,NA,NA,NA,"Zm00001eb162770","Zm00001eb340780","Zm00001eb415960","Zm00001eb212520","Zm00001eb167100","Zm00001eb100020","Zm00001eb114120"
NA,NA,NA,NA,"Zm00001eb197320","Zm00001eb252380","Zm00001eb127040","Zm00001eb190670","Zm00001eb270830","Zm00001eb302280","Zm00001eb433300"
NA,NA,NA,NA,"Zm00001eb426540","Zm00001eb300770","Zm00001eb149340","Zm00001eb041890","Zm00001eb278650","Zm00001eb139920","Zm00001eb299010"
NA,NA,NA,NA,"Zm00001eb334730","Zm00001eb192150","Zm00001eb424280","Zm00001eb058550","Zm00001eb124420","Zm00001eb370590","Zm00001eb138650"
NA,NA,NA,NA,"Zm00001eb048410","Zm00001eb079180","Zm00001eb193820","Zm00001eb230820","Zm00001eb146910","Zm00001eb350770","Zm00001eb326080"
NA,NA,NA,NA,"Zm00001eb342980","Zm00001eb422330","Zm00001eb193660","Zm00001eb154620","Zm00001eb407630","Zm00001eb160210","Zm00001eb164040"
NA,NA,NA,NA,"Zm00001eb042530","Zm00001eb254480","Zm00001eb191350","Zm00001eb129850","Zm00001eb160180","Zm00001eb189950","Zm00001eb094750"
NA,NA,NA,NA,"Zm00001eb190110","Zm00001eb146920","Zm00001eb339490","Zm00001eb204350","Zm00001eb394170","Zm00001eb395620","Zm00001eb238210"
NA,NA,NA,NA,"Zm00001eb199980","Zm00001eb193040","Zm00001eb223890","Zm00001eb415960","Zm00001eb383780","Zm00001eb298570","Zm00001eb036550"
NA,NA,NA,NA,"Zm00001eb288290","Zm00001eb267210","Zm00001eb198730","Zm00001eb127040","Zm00001eb370370","Zm00001eb121420","Zm00001eb179680"
NA,NA,NA,NA,"Zm00001eb183910","Zm00001eb169370","Zm00001eb144680","Zm00001eb424280","Zm00001eb192160","Zm00001eb167100","Zm00001eb137110"
NA,NA,NA,NA,"Zm00001eb224720","Zm00001eb130850","Zm00001eb255120","Zm00001eb193820","Zm00001eb040890","Zm00001eb270830","Zm00001eb419950"
NA,NA,NA,NA,"Zm00001eb358700","Zm00001eb213670","Zm00001eb162770","Zm00001eb193660","Zm00001eb131440","Zm00001eb278650","Zm00001eb355420"
NA,NA,NA,NA,"Zm00001eb191140","Zm00001eb064780","Zm00001eb426540","Zm00001eb191350","Zm00001eb250840","Zm00001eb146910","Zm00001eb258440"
NA,NA,NA,NA,"Zm00001eb124790","Zm00001eb114120","Zm00001eb334730","Zm00001eb198730","Zm00001eb126790","Zm00001eb407630","Zm00001eb327000"
NA,NA,NA,NA,"Zm00001eb071090","Zm00001eb433300","Zm00001eb048410","Zm00001eb144680","Zm00001eb383310","Zm00001eb394170","Zm00001eb235710"
NA,NA,NA,NA,"Zm00001eb417630","Zm00001eb299010","Zm00001eb342980","Zm00001eb255120","Zm00001eb170060","Zm00001eb383780","Zm00001eb196320"
NA,NA,NA,NA,"Zm00001eb099170","Zm00001eb140540","Zm00001eb429210","Zm00001eb162770","Zm00001eb388220","Zm00001eb370370","Zm00001eb309340"
NA,NA,NA,NA,"Zm00001eb081850","Zm00001eb138650","Zm00001eb042530","Zm00001eb426540","Zm00001eb267120","Zm00001eb192160","Zm00001eb152090"
NA,NA,NA,NA,"Zm00001eb116580","Zm00001eb326080","Zm00001eb199980","Zm00001eb334730","Zm00001eb148020","Zm00001eb040890","Zm00001eb265080"
NA,NA,NA,NA,"Zm00001eb389750","Zm00001eb164040","Zm00001eb288290","Zm00001eb048410","Zm00001eb064450","Zm00001eb131440","Zm00001eb213010"
NA,NA,NA,NA,"Zm00001eb322790","Zm00001eb094750","Zm00001eb183910","Zm00001eb342980","Zm00001eb164380","Zm00001eb250840","Zm00001eb253960"
NA,NA,NA,NA,"Zm00001eb243590","Zm00001eb238210","Zm00001eb045780","Zm00001eb042530","Zm00001eb009430","Zm00001eb126790","Zm00001eb375640"
NA,NA,NA,NA,"Zm00001eb402590","Zm00001eb036550","Zm00001eb358700","Zm00001eb199980","Zm00001eb082370","Zm00001eb187870","Zm00001eb166770"
NA,NA,NA,NA,"Zm00001eb189140","Zm00001eb161400","Zm00001eb191140","Zm00001eb183910","Zm00001eb340190","Zm00001eb383310","Zm00001eb093210"
NA,NA,NA,NA,"Zm00001eb366190","Zm00001eb179680","Zm00001eb124790","Zm00001eb358700","Zm00001eb292240","Zm00001eb170060","Zm00001eb052690"
NA,NA,NA,NA,"Zm00001eb218750","Zm00001eb137110","Zm00001eb071090","Zm00001eb191140","Zm00001eb068310","Zm00001eb388220","Zm00001eb335670"
NA,NA,NA,NA,"Zm00001eb002190","Zm00001eb419950","Zm00001eb417630","Zm00001eb124790","Zm00001eb344870","Zm00001eb148020","Zm00001eb054810"
NA,NA,NA,NA,"Zm00001eb187590","Zm00001eb355420","Zm00001eb099170","Zm00001eb251960","Zm00001eb225390","Zm00001eb064450","Zm00001eb333110"
NA,NA,NA,NA,"Zm00001eb077330","Zm00001eb258440","Zm00001eb081850","Zm00001eb417630","Zm00001eb168170","Zm00001eb009430","Zm00001eb232580"
NA,NA,NA,NA,"Zm00001eb146370","Zm00001eb327000","Zm00001eb116580","Zm00001eb099170","Zm00001eb106370","Zm00001eb082370","Zm00001eb402580"
NA,NA,NA,NA,"Zm00001eb174340","Zm00001eb235710","Zm00001eb389750","Zm00001eb116580","Zm00001eb426550","Zm00001eb340190","Zm00001eb035580"
NA,NA,NA,NA,"Zm00001eb367930","Zm00001eb196320","Zm00001eb322790","Zm00001eb389750","Zm00001eb360230","Zm00001eb292240","Zm00001eb350090"
NA,NA,NA,NA,"Zm00001eb414110","Zm00001eb309340","Zm00001eb243590","Zm00001eb322790","Zm00001eb056990","Zm00001eb068310","Zm00001eb306070"
NA,NA,NA,NA,"Zm00001eb037290","Zm00001eb152090","Zm00001eb402590","Zm00001eb041280","Zm00001eb040900","Zm00001eb344870","Zm00001eb362560"
NA,NA,NA,NA,"Zm00001eb359280","Zm00001eb190150","Zm00001eb189140","Zm00001eb402590","Zm00001eb410260","Zm00001eb106370","Zm00001eb080840"
NA,NA,NA,NA,"Zm00001eb208350","Zm00001eb265080","Zm00001eb366190","Zm00001eb189140","Zm00001eb212520","Zm00001eb426550","Zm00001eb010130"
NA,NA,NA,NA,"Zm00001eb125540","Zm00001eb213010","Zm00001eb218750","Zm00001eb218750","Zm00001eb122420","Zm00001eb056990","Zm00001eb165040"
NA,NA,NA,NA,"Zm00001eb370610","Zm00001eb040580","Zm00001eb002190","Zm00001eb286540","Zm00001eb190670","Zm00001eb410260","Zm00001eb370570"
NA,NA,NA,NA,"Zm00001eb226690","Zm00001eb253960","Zm00001eb187590","Zm00001eb002190","Zm00001eb282490","Zm00001eb212520","Zm00001eb374010"
NA,NA,NA,NA,"Zm00001eb353590","Zm00001eb375640","Zm00001eb077330","Zm00001eb187590","Zm00001eb041890","Zm00001eb190670","Zm00001eb202520"
NA,NA,NA,NA,"Zm00001eb234470","Zm00001eb166770","Zm00001eb146370","Zm00001eb077330","Zm00001eb215320","Zm00001eb041890","Zm00001eb108400"
NA,NA,NA,NA,"Zm00001eb339110","Zm00001eb093210","Zm00001eb174340","Zm00001eb174340","Zm00001eb058550","Zm00001eb058550","Zm00001eb322650"
NA,NA,NA,NA,"Zm00001eb196510","Zm00001eb052690","Zm00001eb367930","Zm00001eb367930","Zm00001eb377890","Zm00001eb230820","Zm00001eb307680"
NA,NA,NA,NA,"Zm00001eb234790","Zm00001eb335670","Zm00001eb280560","Zm00001eb125540","Zm00001eb230820","Zm00001eb249540","Zm00001eb063350"
NA,NA,NA,NA,"Zm00001eb359070","Zm00001eb054810","Zm00001eb414110","Zm00001eb370610","Zm00001eb429510","Zm00001eb154620","Zm00001eb148590"
NA,NA,NA,NA,"Zm00001eb340780","Zm00001eb333110","Zm00001eb250050","Zm00001eb226690","Zm00001eb148900","Zm00001eb129850","Zm00001eb385750"
NA,NA,NA,NA,"Zm00001eb252380","Zm00001eb232580","Zm00001eb037290","Zm00001eb194590","Zm00001eb158800","Zm00001eb204350","Zm00001eb286310"
NA,NA,NA,NA,"Zm00001eb300770","Zm00001eb402580","Zm00001eb359280","Zm00001eb234470","Zm00001eb154620","Zm00001eb415960","Zm00001eb071870"
NA,NA,NA,NA,"Zm00001eb051160","Zm00001eb035580","Zm00001eb208350","Zm00001eb339110","Zm00001eb129850","Zm00001eb127040","Zm00001eb162400"
NA,NA,NA,NA,"Zm00001eb177670","Zm00001eb350090","Zm00001eb125540","Zm00001eb189200","Zm00001eb244190","Zm00001eb191150","Zm00001eb245170"
NA,NA,NA,NA,"Zm00001eb192150","Zm00001eb306070","Zm00001eb370610","Zm00001eb196510","Zm00001eb204350","Zm00001eb424280","Zm00001eb418340"
NA,NA,NA,NA,"Zm00001eb079180","Zm00001eb362560","Zm00001eb226690","Zm00001eb359070","Zm00001eb235250","Zm00001eb193820","Zm00001eb069630"
NA,NA,NA,NA,"Zm00001eb055460","Zm00001eb080840","Zm00001eb353590","Zm00001eb340780","Zm00001eb415960","Zm00001eb193660","Zm00001eb311260"
NA,NA,NA,NA,"Zm00001eb422330","Zm00001eb010130","Zm00001eb234470","Zm00001eb252380","Zm00001eb127040","Zm00001eb191350","Zm00001eb390590"
NA,NA,NA,NA,"Zm00001eb254480","Zm00001eb165040","Zm00001eb339110","Zm00001eb300770","Zm00001eb424280","Zm00001eb195180","Zm00001eb045750"
NA,NA,NA,NA,"Zm00001eb146920","Zm00001eb370570","Zm00001eb196510","Zm00001eb192350","Zm00001eb193820","Zm00001eb186410","Zm00001eb349070"
NA,NA,NA,NA,"Zm00001eb193040","Zm00001eb374010","Zm00001eb234790","Zm00001eb192150","Zm00001eb193660","Zm00001eb198730","Zm00001eb032380"
NA,NA,NA,NA,"Zm00001eb267210","Zm00001eb202520","Zm00001eb359070","Zm00001eb079180","Zm00001eb191350","Zm00001eb195900","Zm00001eb019840"
NA,NA,NA,NA,"Zm00001eb362570","Zm00001eb339770","Zm00001eb340780","Zm00001eb422330","Zm00001eb339490","Zm00001eb144680","Zm00001eb321480"
NA,NA,NA,NA,"Zm00001eb169370","Zm00001eb348530","Zm00001eb252380","Zm00001eb096620","Zm00001eb223890","Zm00001eb255120","Zm00001eb387370"
NA,NA,NA,NA,"Zm00001eb130850","Zm00001eb108400","Zm00001eb300770","Zm00001eb254480","Zm00001eb198730","Zm00001eb162770","Zm00001eb202960"
NA,NA,NA,NA,"Zm00001eb213670","Zm00001eb322650","Zm00001eb051160","Zm00001eb146920","Zm00001eb144680","Zm00001eb426540","Zm00001eb021720"
NA,NA,NA,NA,"Zm00001eb114120","Zm00001eb307680","Zm00001eb177670","Zm00001eb193040","Zm00001eb383290","Zm00001eb188030","Zm00001eb206580"
NA,NA,NA,NA,"Zm00001eb433300","Zm00001eb225330","Zm00001eb192150","Zm00001eb267210","Zm00001eb255120","Zm00001eb334730","Zm00001eb151340"
NA,NA,NA,NA,"Zm00001eb107080","Zm00001eb063350","Zm00001eb079180","Zm00001eb169370","Zm00001eb162770","Zm00001eb048410","Zm00001eb149810"
NA,NA,NA,NA,"Zm00001eb299010","Zm00001eb011560","Zm00001eb055460","Zm00001eb130850","Zm00001eb426540","Zm00001eb342980","Zm00001eb042410"
NA,NA,NA,NA,"Zm00001eb138650","Zm00001eb148590","Zm00001eb422330","Zm00001eb213670","Zm00001eb334730","Zm00001eb042530","Zm00001eb334670"
NA,NA,NA,NA,"Zm00001eb326080","Zm00001eb385750","Zm00001eb254480","Zm00001eb114120","Zm00001eb048410","Zm00001eb199980","Zm00001eb258130"
NA,NA,NA,NA,"Zm00001eb054380","Zm00001eb286310","Zm00001eb146920","Zm00001eb433300","Zm00001eb342980","Zm00001eb183910","Zm00001eb365580"
NA,NA,NA,NA,"Zm00001eb164040","Zm00001eb071870","Zm00001eb389700","Zm00001eb299010","Zm00001eb226300","Zm00001eb013800","Zm00001eb054590"
NA,NA,NA,NA,"Zm00001eb094750","Zm00001eb162400","Zm00001eb193040","Zm00001eb138650","Zm00001eb042530","Zm00001eb358700","Zm00001eb080160"
NA,NA,NA,NA,"Zm00001eb238210","Zm00001eb245170","Zm00001eb267210","Zm00001eb326080","Zm00001eb199980","Zm00001eb191140","Zm00001eb114700"
NA,NA,NA,NA,"Zm00001eb036550","Zm00001eb307450","Zm00001eb362570","Zm00001eb191220","Zm00001eb288290","Zm00001eb191620","Zm00001eb309880"
NA,NA,NA,NA,"Zm00001eb315060","Zm00001eb418340","Zm00001eb130850","Zm00001eb211170","Zm00001eb183910","Zm00001eb124790","Zm00001eb402760"
NA,NA,NA,NA,"Zm00001eb179680","Zm00001eb069630","Zm00001eb213670","Zm00001eb164040","Zm00001eb358700","Zm00001eb251960","Zm00001eb003480"
NA,NA,NA,NA,"Zm00001eb137110","Zm00001eb311260","Zm00001eb114120","Zm00001eb094750","Zm00001eb191140","Zm00001eb417630","Zm00001eb206350"
NA,NA,NA,NA,"Zm00001eb419950","Zm00001eb390590","Zm00001eb433300","Zm00001eb238210","Zm00001eb212290","Zm00001eb099170","Zm00001eb216410"
NA,NA,NA,NA,"Zm00001eb355420","Zm00001eb045750","Zm00001eb107080","Zm00001eb036550","Zm00001eb124790","Zm00001eb116580","Zm00001eb255830"
NA,NA,NA,NA,"Zm00001eb275860","Zm00001eb349070","Zm00001eb299010","Zm00001eb179680","Zm00001eb071090","Zm00001eb389750","Zm00001eb111610"
NA,NA,NA,NA,"Zm00001eb258440","Zm00001eb032380","Zm00001eb138650","Zm00001eb137110","Zm00001eb251960","Zm00001eb322790","Zm00001eb253380"
NA,NA,NA,NA,"Zm00001eb424430","Zm00001eb019840","Zm00001eb326080","Zm00001eb419950","Zm00001eb417630","Zm00001eb041280","Zm00001eb112950"
NA,NA,NA,NA,"Zm00001eb327000","Zm00001eb321480","Zm00001eb054380","Zm00001eb355420","Zm00001eb099170","Zm00001eb402590","Zm00001eb194080"
NA,NA,NA,NA,"Zm00001eb235710","Zm00001eb387370","Zm00001eb164040","Zm00001eb258440","Zm00001eb081850","Zm00001eb189140","Zm00001eb250160"
NA,NA,NA,NA,"Zm00001eb225470","Zm00001eb202960","Zm00001eb094750","Zm00001eb327000","Zm00001eb116580","Zm00001eb218750","Zm00001eb099420"
NA,NA,NA,NA,"Zm00001eb196320","Zm00001eb021720","Zm00001eb238210","Zm00001eb197020","Zm00001eb389750","Zm00001eb286540","Zm00001eb409690"
NA,NA,NA,NA,"Zm00001eb309340","Zm00001eb206580","Zm00001eb036550","Zm00001eb235710","Zm00001eb264720","Zm00001eb025970","Zm00001eb098120"
NA,NA,NA,NA,"Zm00001eb152090","Zm00001eb151340","Zm00001eb315060","Zm00001eb196320","Zm00001eb243180","Zm00001eb002190","Zm00001eb196030"
NA,NA,NA,NA,"Zm00001eb265080","Zm00001eb113610","Zm00001eb290480","Zm00001eb309340","Zm00001eb322790","Zm00001eb187590","Zm00001eb087720"
NA,NA,NA,NA,"Zm00001eb213010","Zm00001eb149810","Zm00001eb179680","Zm00001eb152090","Zm00001eb243590","Zm00001eb077330","Zm00001eb172070"
NA,NA,NA,NA,"Zm00001eb124740","Zm00001eb042410","Zm00001eb207130","Zm00001eb265080","Zm00001eb041280","Zm00001eb174340","Zm00001eb369970"
NA,NA,NA,NA,"Zm00001eb253960","Zm00001eb334670","Zm00001eb015490","Zm00001eb213010","Zm00001eb402590","Zm00001eb367930","Zm00001eb406020"
NA,NA,NA,NA,"Zm00001eb325090","Zm00001eb258130","Zm00001eb137110","Zm00001eb194700","Zm00001eb189140","Zm00001eb190090","Zm00001eb220060"
NA,NA,NA,NA,"Zm00001eb296690","Zm00001eb383670","Zm00001eb419950","Zm00001eb253960","Zm00001eb366190","Zm00001eb125540","Zm00001eb063150"
NA,NA,NA,NA,"Zm00001eb375640","Zm00001eb365580","Zm00001eb355420","Zm00001eb375640","Zm00001eb218750","Zm00001eb370610","Zm00001eb247580"
NA,NA,NA,NA,"Zm00001eb061810","Zm00001eb054590","Zm00001eb275860","Zm00001eb166770","Zm00001eb294690","Zm00001eb226690","Zm00001eb235050"
NA,NA,NA,NA,"Zm00001eb166770","Zm00001eb080160","Zm00001eb258440","Zm00001eb093210","Zm00001eb286540","Zm00001eb194590","Zm00001eb162720"
NA,NA,NA,NA,"Zm00001eb093210","Zm00001eb114700","Zm00001eb424430","Zm00001eb052690","Zm00001eb002190","Zm00001eb195860","Zm00001eb377470"
NA,NA,NA,NA,"Zm00001eb052690","Zm00001eb309880","Zm00001eb327000","Zm00001eb335670","Zm00001eb187590","Zm00001eb234470","Zm00001eb004590"
NA,NA,NA,NA,"Zm00001eb222850","Zm00001eb402760","Zm00001eb235710","Zm00001eb054810","Zm00001eb077330","Zm00001eb339110","Zm00001eb180480"
NA,NA,NA,NA,"Zm00001eb335670","Zm00001eb003480","Zm00001eb225470","Zm00001eb333110","Zm00001eb146370","Zm00001eb189200","Zm00001eb037980"
NA,NA,NA,NA,"Zm00001eb054810","Zm00001eb206350","Zm00001eb196320","Zm00001eb232580","Zm00001eb174340","Zm00001eb196510","Zm00001eb213720"
NA,NA,NA,NA,"Zm00001eb333110","Zm00001eb216410","Zm00001eb309340","Zm00001eb402580","Zm00001eb367930","Zm00001eb359070","Zm00001eb264670"
NA,NA,NA,NA,"Zm00001eb232580","Zm00001eb255830","Zm00001eb152090","Zm00001eb035580","Zm00001eb414110","Zm00001eb340780","Zm00001eb161480"
NA,NA,NA,NA,"Zm00001eb402580","Zm00001eb111610","Zm00001eb190150","Zm00001eb423880","Zm00001eb037290","Zm00001eb252380","Zm00001eb325410"
NA,NA,NA,NA,"Zm00001eb035580","Zm00001eb253380","Zm00001eb265080","Zm00001eb350090","Zm00001eb359280","Zm00001eb300770","Zm00001eb129050"
NA,NA,NA,NA,"Zm00001eb336410","Zm00001eb112950","Zm00001eb213010","Zm00001eb306070","Zm00001eb208350","Zm00001eb192350","Zm00001eb313760"
NA,NA,NA,NA,"Zm00001eb350090","Zm00001eb092540","Zm00001eb123240","Zm00001eb362560","Zm00001eb125540","Zm00001eb195370","Zm00001eb388800"
NA,NA,NA,NA,"Zm00001eb346800","Zm00001eb194080","Zm00001eb124740","Zm00001eb080840","Zm00001eb370610","Zm00001eb192150","Zm00001eb303350"
NA,NA,NA,NA,"Zm00001eb306070","Zm00001eb250160","Zm00001eb253960","Zm00001eb010130","Zm00001eb226690","Zm00001eb189720","Zm00001eb345960"
NA,NA,NA,NA,"Zm00001eb362560","Zm00001eb099420","Zm00001eb325090","Zm00001eb165040","Zm00001eb353590","Zm00001eb079180","Zm00001eb169510"
NA,NA,NA,NA,"Zm00001eb080840","Zm00001eb409690","Zm00001eb296690","Zm00001eb351780","Zm00001eb194590","Zm00001eb422330","Zm00001eb011750"
NA,NA,NA,NA,"Zm00001eb010130","Zm00001eb098120","Zm00001eb375640","Zm00001eb370570","Zm00001eb234470","Zm00001eb096620","Zm00001eb024430"
NA,NA,NA,NA,"Zm00001eb165040","Zm00001eb196030","Zm00001eb061810","Zm00001eb374010","Zm00001eb339110","Zm00001eb254480","Zm00001eb275030"
NA,NA,NA,NA,"Zm00001eb370570","Zm00001eb303760","Zm00001eb166770","Zm00001eb202520","Zm00001eb189200","Zm00001eb146920","Zm00001eb393060"
NA,NA,NA,NA,"Zm00001eb374010","Zm00001eb087720","Zm00001eb093210","Zm00001eb137420","Zm00001eb196510","Zm00001eb193040","Zm00001eb139700"
NA,NA,NA,NA,"Zm00001eb202520","Zm00001eb172070","Zm00001eb052690","Zm00001eb108400","Zm00001eb234790","Zm00001eb267210","Zm00001eb272640"
NA,NA,NA,NA,"Zm00001eb108400","Zm00001eb369970","Zm00001eb222850","Zm00001eb322650","Zm00001eb359070","Zm00001eb130850","Zm00001eb099610"
NA,NA,NA,NA,"Zm00001eb322650","Zm00001eb406020","Zm00001eb335670","Zm00001eb307680","Zm00001eb340780","Zm00001eb213670","Zm00001eb402410"
NA,NA,NA,NA,"Zm00001eb307680","Zm00001eb220060","Zm00001eb054810","Zm00001eb377120","Zm00001eb252380","Zm00001eb114120","Zm00001eb234460"
NA,NA,NA,NA,"Zm00001eb174810","Zm00001eb063150","Zm00001eb333110","Zm00001eb063350","Zm00001eb300770","Zm00001eb433300","Zm00001eb340260"
NA,NA,NA,NA,"Zm00001eb063350","Zm00001eb247580","Zm00001eb232580","Zm00001eb148590","Zm00001eb192350","Zm00001eb299010","Zm00001eb066960"
NA,NA,NA,NA,"Zm00001eb166920","Zm00001eb235050","Zm00001eb037280","Zm00001eb385750","Zm00001eb051160","Zm00001eb138650","Zm00001eb093140"
NA,NA,NA,NA,"Zm00001eb112080","Zm00001eb162720","Zm00001eb402580","Zm00001eb286310","Zm00001eb177670","Zm00001eb326080","Zm00001eb018900"
NA,NA,NA,NA,"Zm00001eb388610","Zm00001eb377470","Zm00001eb035580","Zm00001eb071870","Zm00001eb192150","Zm00001eb191220","Zm00001eb370930"
NA,NA,NA,NA,"Zm00001eb249160","Zm00001eb004590","Zm00001eb228100","Zm00001eb191410","Zm00001eb079180","Zm00001eb211170","Zm00001eb429440"
NA,NA,NA,NA,"Zm00001eb148590","Zm00001eb180480","Zm00001eb350090","Zm00001eb162400","Zm00001eb055460","Zm00001eb164040","Zm00001eb082100"
NA,NA,NA,NA,"Zm00001eb385750","Zm00001eb037980","Zm00001eb346800","Zm00001eb245170","Zm00001eb422330","Zm00001eb094750","Zm00001eb113580"
NA,NA,NA,NA,"Zm00001eb286310","Zm00001eb213720","Zm00001eb306070","Zm00001eb418340","Zm00001eb096620","Zm00001eb238210","Zm00001eb004320"
NA,NA,NA,NA,"Zm00001eb071870","Zm00001eb264670","Zm00001eb362560","Zm00001eb069630","Zm00001eb254480","Zm00001eb036550","Zm00001eb036910"
NA,NA,NA,NA,"Zm00001eb328720","Zm00001eb161480","Zm00001eb080840","Zm00001eb311260","Zm00001eb146920","Zm00001eb179680","Zm00001eb078670"
NA,NA,NA,NA,"Zm00001eb147480","Zm00001eb325410","Zm00001eb010130","Zm00001eb390590","Zm00001eb193040","Zm00001eb137110","Zm00001eb293940"
NA,NA,NA,NA,"Zm00001eb162400","Zm00001eb129050","Zm00001eb165040","Zm00001eb045750","Zm00001eb267210","Zm00001eb419950","Zm00001eb109570"
NA,NA,NA,NA,"Zm00001eb245170","Zm00001eb313760","Zm00001eb370570","Zm00001eb349070","Zm00001eb362570","Zm00001eb355420","Zm00001eb011140"
NA,NA,NA,NA,"Zm00001eb418340","Zm00001eb388800","Zm00001eb374010","Zm00001eb032380","Zm00001eb002810","Zm00001eb258440","Zm00001eb164350"
NA,NA,NA,NA,"Zm00001eb069630","Zm00001eb303350","Zm00001eb202520","Zm00001eb019840","Zm00001eb130850","Zm00001eb327000","Zm00001eb293150"
NA,NA,NA,NA,"Zm00001eb311260","Zm00001eb345960","Zm00001eb339770","Zm00001eb321480","Zm00001eb213670","Zm00001eb197020","Zm00001eb365640"
NA,NA,NA,NA,"Zm00001eb390590","Zm00001eb169510","Zm00001eb108400","Zm00001eb387370","Zm00001eb114120","Zm00001eb235710","Zm00001eb236550"
